Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
51,Taylor Ward,32,2TM,AL,1.8,140,604,495,70,110,20,1,7,35,4,3,99,130,.222,.358,.309,.667,93,.315,101,153,9,7,0,3,2,*7D9/H,,wardta01
51,Taylor Ward,32,BAL,AL,2.7,111,506,410,64,101,20,0,7,30,4,3,87,103,.246,.383,.346,.730,111,.337,116,142,7,6,0,3,2,7D,,wardta01
51,Taylor Ward,32,SEA,AL,-0.9,29,98,85,6,9,0,1,0,5,0,0,12,27,.106,.224,.129,.354,6,.200,23,11,2,1,0,0,0,9D/H,,wardta01
52,Ian Happ#,31,CHC,NL,2.6,147,602,515,84,113,26,2,23,65,4,1,78,180,.219,.329,.412,.741,103,.332,105,212,11,7,1,1,3,*7/HD,,happia01
53,Kazuma Okamoto,30,TOR,AL,2.5,147,600,537,79,126,24,0,33,88,1,1,54,175,.235,.310,.464,.774,110,.339,109,249,13,6,0,3,0,*53/DH,,okamoka01
54,Steven Kwan*,28,CLE,AL,4.9,143,599,509,77,141,21,2,3,30,10,3,78,59,.277,.375,.344,.719,107,.339,116,175,10,4,4,3,1,*78/HD,,kwanst01
55,Austin Riley,29,ATL,NL,0.8,151,598,537,61,119,21,2,17,69,9,2,46,190,.222,.294,.363,.657,80,.296,78,195,11,11,0,4,1,*5/H,,rileyau01
56,TJ Rumfield*,26,COL,NL,3.6,146,597,516,62,155,29,3,15,69,0,0,69,81,.300,.392,.455,.847,122,.379,127,235,5,10,0,2,0,*3D/H,,rumfitj01
57,Seiya Suzuki,31,CHC,NL,4.8,135,597,512,92,136,30,1,24,81,3,0,77,144,.266,.365,.469,.834,128,.372,133,240,13,5,0,3,4,*9D/H,,suzukse01
58,Shohei Ohtani*,31,LAD,NL,3.4,130,596,502,89,139,25,4,30,80,11,3,80,144,.277,.380,.522,.902,146,.386,144,262,9,7,0,5,16,*D1/H,AS,ohtansh01
59,Christian Walker,35,HOU,AL,1.7,147,596,537,66,119,25,1,25,80,0,0,47,138,.222,.295,.412,.707,99,.318,102,221,14,10,0,2,2,*3/HD,,walkech02
60,Elly De La Cruz#,24,CIN,NL,5.6,133,593,524,94,150,29,5,28,74,26,8,64,162,.286,.364,.521,.885,144,.390,147,273,6,2,0,3,1,*6/D,,delacel01
61,Josh Bell#,33,MIN,AL,0.8,145,592,534,75,135,28,1,20,88,2,0,48,119,.253,.316,.421,.738,107,.326,105,225,19,4,0,5,0,*D3/H,,belljo02
62,Salvador Perez,36,KCR,AL,-0.5,142,592,547,48,125,23,1,19,72,1,0,23,112,.229,.273,.378,.651,83,.289,80,207,20,13,0,7,3,D23/H,,perezsa02
63,Mike Trout,34,LAA,AL,3.9,133,592,481,81,116,25,0,21,52,11,0,98,155,.241,.379,.424,.803,131,.367,136,204,10,10,0,2,11,*8D,AS,troutmi01
64,Ernie Clement,30,TOR,AL,1.6,149,591,560,60,150,31,1,9,48,7,1,22,55,.268,.294,.375,.669,83,.303,82,210,11,2,0,7,0,*465/H7,AS,clemeer01
65,Bobby Witt Jr.,26,KCR,AL,6.3,133,590,518,84,144,30,1,18,54,42,8,65,102,.278,.359,.444,.803,127,.364,126,230,7,3,0,4,12,*6/D,AS,wittbo02
66,JJ Wetherholt*,23,STL,NL,4.6,131,589,508,88,122,14,0,17,48,14,1,63,96,.240,.341,.368,.709,104,.329,110,187,5,16,0,2,2,*46/H,,wethejj01
67,Alec Bohm,29,PHI,NL,-0.1,145,588,530,56,133,28,1,15,84,2,0,44,84,.251,.316,.392,.709,89,.322,91,208,19,9,0,5,1,*53/H,,bohmal01
68,Kyle Tucker*,29,LAD,NL,0.4,144,588,504,83,114,21,4,15,66,11,0,75,102,.226,.327,.373,.700,93,.320,93,188,6,3,0,6,1,*9/H,,tuckeky01
69,Xavier Edwards#,26,MIA,NL,2.9,140,587,511,61,144,17,6,6,52,21,5,67,80,.282,.361,.374,.735,109,.333,109,191,13,0,3,6,4,*4/DH,,edwarxa01
70,Michael Harris II*,25,ATL,NL,4.5,147,587,559,73,162,32,1,25,83,11,3,21,116,.290,.316,.485,.801,117,.350,117,271,3,2,2,3,1,*8/HD7,,harrimi04
71,Brooks Lee#,25,MIN,AL,2.3,146,587,544,66,134,23,3,23,79,8,5,36,97,.246,.297,.426,.723,102,.321,103,232,10,4,1,2,1,56/H,,leebr02
72,Vladimir Guerrero Jr.,27,TOR,AL,1.4,138,586,520,71,136,24,0,9,56,7,4,55,77,.262,.334,.360,.694,92,.311,90,187,19,5,0,6,5,*3D/H,AS,guerrvl02
73,Mauricio Dubón,31,ATL,NL,2.5,145,585,540,62,147,26,3,11,70,9,3,34,68,.272,.318,.393,.711,95,.320,96,212,10,4,1,3,0,768/54HD,,dubonma01
74,Ketel Marte#,32,ARI,NL,2.2,132,585,527,71,132,29,3,22,74,4,0,47,84,.250,.316,.442,.758,108,.326,102,233,6,6,0,5,5,*4D/H,,marteke01
75,James Wood*,23,WSN,NL,3.8,126,585,479,102,127,29,1,30,75,21,3,98,166,.265,.391,.518,.909,148,.394,146,248,5,4,0,4,10,9D7/H,AS,woodja03
76,Jakob Marsee*,25,MIA,NL,1.7,147,584,489,78,111,19,6,11,39,23,12,74,120,.227,.344,.358,.702,100,.321,104,175,4,14,6,1,1,*8H/D,,marseja01
77,Jarren Duran*,29,BOS,AL,0.3,142,582,530,65,108,15,4,20,69,19,4,37,162,.204,.260,.360,.621,74,.278,69,191,5,6,2,7,3,*78/DH,,duranja01
78,Luke Keaschall,23,MIN,AL,1.6,143,580,494,75,138,25,1,9,45,18,7,56,82,.279,.372,.389,.761,116,.352,123,192,8,21,2,7,1,498/H,,keasclu01
79,Chandler Simpson*,25,TBR,AL,2.3,143,580,539,63,167,16,6,0,34,42,14,26,46,.310,.338,.362,.700,97,.318,94,195,6,0,9,6,1,*7/H8,,simpsch01
80,Jake Burger,30,TEX,AL,2.1,145,579,521,66,122,22,0,26,84,4,1,51,156,.234,.306,.426,.732,111,.321,109,222,6,4,0,3,0,*3/HD,,burgeja01
81,Dillon Dingler,27,DET,AL,3.8,138,579,525,68,127,25,2,27,88,0,0,32,133,.242,.302,.451,.753,108,.335,110,237,12,15,0,5,0,*2D/H,AS,dingldi01
82,Drake Baldwin*,25,ATL,NL,3.5,130,577,515,80,143,18,0,24,77,3,1,52,125,.278,.352,.452,.804,120,.354,121,233,14,8,0,2,2,2D/H,AS,baldwdr01
83,Xander Bogaerts,33,SDP,NL,1.6,145,576,495,60,110,16,0,11,54,21,1,72,103,.222,.323,.321,.644,83,.307,87,159,12,4,0,5,2,*6/D,,bogaexa01
84,Nick Gonzales,27,PIT,NL,1.5,140,576,522,68,160,26,1,6,60,7,3,41,92,.307,.370,.395,.764,108,.346,111,206,15,12,0,1,0,*54/DH6,,gonzani01
85,Spencer Torkelson,26,DET,AL,0.7,149,575,499,63,113,26,0,24,72,1,1,64,180,.226,.321,.423,.743,107,.326,104,211,12,7,0,4,0,*3H/D,,torkesp01
86,Ceddanne Rafaela,25,BOS,AL,5.5,135,569,535,67,151,32,3,16,70,17,9,21,115,.282,.317,.443,.760,113,.335,114,237,10,8,2,3,1,*8/H,AS,rafaece01
87,Jung Hoo Lee*,27,SFG,NL,0.9,140,568,529,64,145,30,4,9,55,12,1,28,57,.274,.317,.397,.714,101,.321,101,210,6,7,0,4,1,*98/HD,,leeju01
88,Carter Jensen*,22,KCR,AL,3.0,141,567,495,73,115,33,2,24,74,2,1,63,159,.232,.319,.453,.772,116,.338,115,224,4,3,0,6,1,2DH,,jenseca01
89,Bryson Stott*,28,PHI,NL,1.2,145,567,502,65,124,28,6,10,64,25,0,56,97,.247,.324,.386,.711,90,.328,88,194,14,3,3,3,0,*45/H,,stottbr01
90,Brayan Rocchio#,25,CLE,AL,2.3,146,565,509,60,126,22,2,13,67,19,6,36,82,.248,.309,.375,.684,94,.313,96,191,10,11,5,4,0,*64/H,,rocchbr01
91,Nolan Arenado,35,ARI,NL,2.6,143,560,498,71,121,23,1,26,74,4,0,50,113,.243,.320,.450,.770,111,.340,112,224,12,8,0,3,2,*5/DH,,arenano01
92,Ezequiel Durán,27,TEX,AL,4.5,143,557,503,68,136,26,4,17,82,11,4,43,130,.270,.331,.439,.770,123,.342,124,221,6,5,1,5,0,654789/H3,,duranez01
93,Jake McCarthy*,28,COL,NL,2.1,137,555,508,75,150,30,10,15,80,30,5,29,88,.295,.340,.482,.822,113,.362,110,245,8,8,4,5,1,*789/DH,,mccarja02
94,Riley Greene*,25,DET,AL,2.8,131,553,479,75,136,30,2,20,73,3,1,65,147,.284,.371,.480,.851,137,.374,137,230,12,4,0,5,4,*7D/H,AS,greenri03
95,Caleb Durbin,26,BOS,AL,4.1,144,550,477,72,119,23,1,13,64,19,5,48,76,.249,.333,.384,.717,103,.325,104,183,7,14,6,4,1,*5/H,,durbica01
96,Andy Pages,25,LAD,NL,5.5,128,550,493,72,134,25,2,21,80,12,7,45,107,.272,.338,.458,.797,117,.350,119,226,11,7,0,5,1,*8/DH,AS,pagesan01
97,Kody Clemens*,30,MIN,AL,2.7,135,548,498,71,120,22,7,26,76,9,2,38,123,.241,.302,.470,.772,114,.340,114,234,9,7,2,3,1,4379/8H,,clemeko01
98,Jake Bauers*,30,MIL,NL,3.1,136,545,449,88,121,20,2,26,83,11,5,90,142,.269,.394,.497,.891,145,.389,147,223,5,4,0,2,4,*397H/D,,bauerja01
99,Brandon Marsh*,28,PHI,NL,0.3,145,540,501,68,131,19,2,17,58,11,3,32,133,.261,.306,.409,.715,90,.312,83,205,5,2,1,4,5,*798H,AS,marshbr02
100,Hunter Goodman,26,COL,NL,2.4,129,535,482,80,118,19,2,38,81,5,4,44,170,.245,.312,.529,.841,115,.358,113,255,9,5,0,4,3,2D/H,AS,goodmhu01
101,Jackson Chourio,22,MIL,NL,4.3,117,534,489,88,141,27,0,23,67,17,5,41,124,.288,.345,.485,.829,127,.361,125,237,7,2,0,2,5,*78/H9,,chourja01
102,Cody Bellinger*,30,NYY,AL,4.8,125,533,468,71,129,25,3,16,71,12,6,58,83,.276,.351,.444,.795,121,.351,121,208,5,0,0,7,0,*78/39DH,AS,bellico01
103,Cam Smith,23,HOU,AL,1.0,148,530,478,62,102,16,6,20,54,10,2,39,133,.213,.278,.397,.675,90,.299,86,190,9,6,0,6,0,*9/H8,,smithca07
104,Jose Altuve,36,HOU,AL,-0.1,125,529,482,66,117,23,2,15,44,5,3,40,104,.243,.303,.392,.695,97,.310,97,189,18,3,1,3,1,*4/D,,altuvjo01
105,Willson Contreras,34,BOS,AL,4.6,128,529,443,68,122,21,3,27,81,3,3,59,133,.275,.386,.519,.906,155,.398,159,230,9,23,1,3,2,*3/D,AS,contrwi01
106,Max Muncy*,35,LAD,NL,4.0,140,527,457,77,114,23,1,28,71,2,0,63,135,.249,.347,.488,.835,127,.362,126,223,7,6,0,1,4,*5H/D,AS,muncyma01
107,Sam Antonacci*,23,CHW,AL,2.1,132,524,451,75,122,23,4,8,45,18,7,42,81,.271,.367,.392,.759,113,.353,122,177,2,27,3,1,0,*74H/D5,,antonsa01
108,Chase DeLauter*,24,CLE,AL,3.2,125,522,464,57,134,28,3,14,62,11,2,55,76,.289,.362,.453,.815,131,.362,131,210,12,0,0,3,0,9D/H,,delauch01
109,Liam Hicks*,27,2TM,2LG,3.1,134,522,451,63,128,14,1,18,79,3,0,52,51,.284,.367,.439,.806,127,.359,129,198,7,11,1,7,3,2D3H,,hicksli01
109,Liam Hicks*,27,MIA,NL,2.5,101,409,354,54,100,9,1,14,62,3,0,40,39,.282,.363,.432,.795,124,.357,128,153,5,8,1,6,1,D23H,,hicksli01
109,Liam Hicks*,27,TBR,AL,0.6,33,113,97,9,28,5,0,4,17,0,0,12,12,.289,.381,.464,.844,136,.367,133,45,2,3,0,1,2,2/H3,,hicksli01
110,Jazz Chisholm Jr.*,28,NYY,AL,1.4,134,520,461,68,107,16,3,19,55,40,9,54,153,.232,.312,.403,.715,98,.323,93,186,5,1,0,4,3,*4/HD,,chishja01
111,Jac Caglianone*,23,KCR,AL,2.7,135,519,482,66,134,27,2,23,70,6,2,30,138,.278,.328,.485,.813,127,.358,129,234,5,6,0,1,2,93/DH,,caglija01
112,Luis García Jr.*,26,2TM,2LG,3.0,141,519,494,66,140,26,5,30,91,5,2,23,91,.283,.314,.538,.853,130,.368,131,266,9,0,0,2,0,*3HD,,garcilu04
112,Luis García Jr.*,26,WSN,NL,2.2,104,374,357,48,101,20,5,23,76,4,1,16,61,.283,.313,.560,.873,134,.375,135,200,6,0,0,1,0,3H/D,,garcilu04
112,Luis García Jr.*,26,NYY,AL,0.8,37,145,137,18,39,6,0,7,15,1,1,7,30,.285,.317,.482,.799,119,.349,120,66,3,0,0,1,0,3/HD,,garcilu04
113,Daulton Varsho*,29,2TM,AL,0.7,137,515,473,50,106,23,3,11,39,12,0,39,103,.224,.285,.355,.641,77,.292,74,168,4,2,0,1,2,*8/H7D,,varshda01
113,Daulton Varsho*,29,TOR,AL,0.8,99,365,333,39,81,19,2,7,26,9,0,29,71,.243,.307,.375,.682,87,.307,82,125,2,2,0,1,2,8/HD,,varshda01
113,Daulton Varsho*,29,HOU,AL,-0.1,38,150,140,11,25,4,1,4,13,3,0,10,32,.179,.233,.307,.540,53,.257,56,43,2,0,0,0,0,8/7,,varshda01
114,Gabriel Moreno,26,ARI,NL,5.7,122,514,443,65,136,32,1,15,75,6,2,57,77,.307,.385,.485,.871,141,.383,143,215,9,5,0,9,0,2D/H5,,morenga01
115,Marcus Semien,35,NYM,NL,0.4,131,514,464,50,102,14,1,14,48,10,2,42,100,.220,.285,.345,.629,77,.294,81,160,10,2,1,5,0,*4/H,,semiema01
116,JJ Bleday*,28,CIN,NL,1.1,124,512,436,56,93,16,2,22,56,6,5,69,114,.213,.323,.411,.733,103,.326,106,179,6,3,0,3,1,*79/DH,,bledajj01
117,Masyn Winn,24,STL,NL,2.7,129,511,452,52,107,20,2,5,54,10,2,45,108,.237,.311,.323,.634,83,.294,86,146,9,7,0,7,0,*6/H,,winnma01
118,Munetaka Murakami*,26,CHW,AL,1.6,117,508,416,75,84,14,0,31,65,1,3,87,181,.202,.344,.459,.804,123,.345,119,191,3,4,0,1,8,*3/DH,AS,murakmu01
119,José Ramírez#,33,CLE,AL,2.1,117,506,439,64,101,26,0,11,49,33,4,57,66,.230,.319,.364,.683,95,.321,95,160,4,3,0,6,8,5D/H,,ramirjo01
120,Willy Adames,30,SFG,NL,1.5,121,505,465,62,107,25,1,21,51,5,2,37,139,.230,.289,.424,.713,99,.318,101,197,3,2,0,1,0,*6,,adamewi01
121,Lawrence Butler*,25,ATH,AL,0.2,144,495,434,57,99,17,1,16,58,10,4,56,131,.228,.318,.382,.700,92,.317,93,166,5,2,1,2,1,*98H/D,,butlela01
122,Isaac Collins#,28,KCR,AL,0.9,137,495,421,47,93,24,3,6,40,8,5,62,110,.221,.327,.335,.662,89,.304,92,141,7,6,3,3,0,*7H/4D,,colliis01
123,Cal Raleigh#,29,SEA,AL,1.1,118,495,422,47,77,14,0,22,66,2,1,66,154,.182,.295,.372,.667,92,.298,92,157,5,3,0,4,0,2D/H,,raleica01
124,George Springer,36,TOR,AL,0.9,119,493,438,57,111,22,2,15,53,12,2,47,88,.253,.329,.416,.744,104,.339,106,182,10,3,0,2,0,*DH/7,,springe01
125,Dominic Canzone*,28,SEA,AL,2.4,137,492,443,55,114,25,4,22,69,2,1,42,106,.257,.327,.481,.808,131,.348,128,213,8,5,0,2,2,D9H,,canzodo01
126,Garrett Mitchell*,27,MIL,NL,3.5,135,492,428,68,115,29,4,11,65,14,9,56,153,.269,.360,.432,.793,119,.345,117,185,4,6,1,1,3,*8H/D,,mitchga01
127,Mookie Betts,33,LAD,NL,3.0,114,488,444,64,111,20,0,20,62,2,3,41,54,.250,.316,.430,.746,103,.328,104,191,14,2,0,1,3,*6,,bettsmo01
128,Kyle Stowers*,28,MIA,NL,1.1,115,487,426,53,102,26,4,19,61,1,1,49,157,.239,.329,.453,.782,119,.339,117,193,8,9,1,2,5,379D/H,,stoweky01
129,Andrés Giménez*,27,TOR,AL,0.9,141,485,448,36,109,23,1,9,57,20,4,16,91,.243,.288,.359,.647,77,.288,69,161,7,14,2,5,2,*6H,,gimenan01
130,Trent Grisham*,29,NYY,AL,0.6,121,484,418,67,88,19,2,18,59,9,3,61,89,.211,.308,.395,.703,95,.316,95,165,8,0,0,4,0,*8H/D,,grishtr01
131,Jeff McNeil*,34,ATH,AL,0.7,134,484,445,49,120,22,0,8,54,8,2,28,54,.270,.317,.373,.690,90,.309,86,166,12,5,1,4,1,43H/D957,,mcneije01
132,Travis Bazzana*,23,CLE,AL,2.4,115,483,417,52,104,20,2,14,56,19,6,54,98,.249,.342,.408,.749,113,.336,112,170,2,7,0,5,1,*4D/H,AS,bazzatr01
133,Cedric Mullins*,31,TBR,AL,0.7,129,479,417,53,84,10,3,14,45,19,9,42,92,.201,.283,.341,.624,74,.280,71,142,3,7,6,4,0,*8/HD,,mullice01
134,Ezequiel Tovar,24,COL,NL,-0.7,138,479,438,52,94,21,0,11,42,7,1,29,122,.215,.262,.338,.600,56,.273,50,148,8,2,2,8,0,*6/H,,tovarez01
135,Willi Castro#,29,COL,NL,1.1,120,477,427,65,111,20,1,15,56,10,6,41,129,.260,.331,.417,.748,95,.330,93,178,4,6,0,3,0,4563/H78,,castrwi01
136,Christian Yelich*,34,MIL,NL,0.2,111,473,418,66,100,23,2,11,56,11,1,46,126,.239,.318,.383,.701,93,.310,87,160,7,4,1,4,4,*DH/7,,yelicch01
137,Royce Lewis,27,MIN,AL,0.9,116,471,425,49,97,23,1,14,54,15,0,38,115,.228,.293,.386,.679,90,.311,89,164,4,3,0,5,1,354/H,,lewisro02
138,Nasim Nuñez#,25,WSN,NL,1.5,138,471,412,52,87,5,3,1,35,46,10,47,96,.211,.292,.245,.537,51,.274,54,101,8,1,9,2,0,*46/HD,,nunezna01
139,Ildemaro Vargas#,34,ARI,NL,1.2,133,471,440,59,111,19,5,9,67,3,1,25,46,.252,.294,.380,.674,86,.301,84,167,7,2,1,2,2,34H/5D617,,vargail01
140,Tristan Peters*,26,CHW,AL,3.8,147,470,418,61,114,31,4,12,54,8,2,36,86,.273,.343,.452,.796,121,.353,121,189,0,10,4,2,0,*87H9,AS,petertr01
141,Eugenio Suárez,34,CIN,NL,0.4,118,470,409,45,86,17,0,24,68,1,1,51,159,.210,.306,.428,.734,103,.323,102,175,6,7,0,3,1,D5/H,,suareeu01
142,Heriberto Hernández,26,MIA,NL,2.3,121,465,413,47,96,16,1,24,64,11,5,47,125,.232,.316,.450,.766,114,.344,120,186,5,4,0,1,1,*7H/9D,,hernahe01
143,Matt McLain,26,CIN,NL,-0.1,125,465,407,56,76,18,0,15,39,18,3,47,130,.187,.279,.342,.621,73,.282,68,139,3,6,3,2,1,46/H8,,mclaima01
144,Leody Taveras#,27,BAL,AL,-0.2,134,462,411,57,89,16,6,8,54,11,4,40,123,.217,.287,.343,.630,79,.286,78,141,8,1,9,1,0,*89H/75,,taverle01
145,Dansby Swanson,32,CHC,NL,3.0,119,458,403,78,87,16,3,18,66,17,1,48,106,.216,.300,.404,.704,92,.329,97,163,5,2,1,4,0,*6/DH,,swansda01
146,Ty France,31,SDP,NL,4.1,123,456,401,53,118,22,2,20,66,1,1,34,98,.294,.360,.509,.869,142,.376,142,204,10,12,0,8,1,*3/H5D,,francty01
147,Jake Mangum#,30,PIT,NL,1.3,126,455,413,55,116,19,2,4,30,23,9,24,86,.281,.337,.366,.703,91,.316,89,151,7,12,4,2,1,*789H,,manguja01
148,J.P. Crawford*,31,SEA,AL,1.1,108,454,380,48,85,12,0,12,37,1,3,62,88,.224,.342,.350,.692,102,.314,105,133,6,8,1,3,1,65/HD,,crawfjp01
149,A.J. Ewing*,21,NYM,NL,3.1,110,454,402,52,103,19,1,10,38,24,8,42,114,.256,.327,.383,.710,100,.328,105,154,2,2,4,4,1,*87/H49D,,ewingaj01
150,Tyler Soderstrom*,24,ATH,AL,2.6,109,453,396,58,97,27,3,19,56,2,1,53,91,.245,.338,.472,.810,121,.357,122,187,9,3,0,1,4,7/DH,,soderty01
151,Javier Sanoja,23,MIA,NL,2.6,135,452,425,48,124,30,5,9,63,11,4,25,36,.292,.330,.449,.780,118,.349,123,191,8,0,1,1,1,*54967H/18,,sanojja01
152,Teoscar Hernández,33,LAD,NL,0.8,115,450,403,60,106,17,2,15,62,5,1,41,122,.263,.333,.427,.760,108,.337,108,172,13,3,0,3,2,*7/9DH,,hernate01
153,Bryce Eldridge*,21,SFG,NL,1.9,107,448,386,50,104,23,0,17,57,1,1,59,119,.269,.364,.461,.825,132,.361,132,178,0,0,0,3,1,D3/H,,eldribr01
154,Jacob Young,26,WSN,NL,1.6,133,448,401,54,99,20,3,10,47,18,3,32,75,.247,.315,.387,.702,93,.327,97,155,6,9,4,2,0,*8/HD,,youngja03
155,Andrew Benintendi*,31,CHW,AL,0.2,133,446,403,57,99,24,2,14,71,1,0,36,102,.246,.306,.419,.725,101,.323,101,169,6,1,1,5,1,*DH7/9,,beninan01
156,Vinnie Pasquantino*,28,KCR,AL,1.7,105,446,388,45,92,18,2,12,49,5,0,50,71,.237,.325,.387,.712,101,.321,101,150,6,3,0,5,3,3/DH,,pasquvi01
157,Nolan Schanuel*,24,LAA,AL,2.1,107,446,392,43,108,22,0,7,49,1,1,42,58,.276,.351,.385,.736,112,.332,115,151,10,6,1,5,0,*3/HD,,schanno01
158,Brett Baty*,26,NYM,NL,0.9,133,445,397,48,91,21,1,10,50,5,1,39,119,.229,.300,.363,.662,86,.299,86,144,5,3,0,5,0,5493DH/76,,batybr01
159,Nathan Church*,25,STL,NL,2.0,133,441,405,50,102,14,2,10,50,10,5,25,76,.252,.298,.370,.668,91,.298,91,150,6,4,1,6,0,*87/H9,,churcna01
160,Ronald Acuña Jr.,28,ATL,NL,1.4,100,440,382,58,98,18,1,18,49,20,8,50,99,.257,.348,.450,.798,118,.350,117,172,6,5,0,3,2,9D,,acunaro01
161,Tyler Stephenson,29,CIN,NL,2.5,122,440,385,39,95,21,0,15,53,0,1,47,119,.247,.330,.418,.748,107,.328,106,161,8,3,0,5,1,*2/DH3,,stephty01
162,Jeremy Peña,28,HOU,AL,3.6,102,438,404,73,112,19,1,19,49,9,2,24,102,.277,.329,.470,.799,125,.358,129,190,3,8,0,2,0,6/HD,,penaje02
163,Kyle Karros,23,COL,NL,1.4,122,437,377,61,98,21,3,12,47,5,0,50,88,.260,.355,.427,.782,104,.352,106,161,4,7,0,3,2,*5/H,,karroky01
164,Justin Crawford*,22,PHI,NL,-0.2,140,436,398,48,106,19,4,3,37,16,4,27,75,.266,.316,.357,.672,80,.302,74,142,5,3,5,3,0,*8H/D,,crawfju01
165,José Caballero,29,NYY,AL,2.2,129,435,393,49,92,13,0,14,51,32,11,26,104,.234,.290,.374,.664,84,.300,81,147,9,7,4,5,0,654H7/98D,,cabaljo01
166,Juan Soto*,27,NYM,NL,2.9,101,435,361,58,98,10,2,25,61,9,3,71,60,.271,.389,.518,.907,153,.386,149,187,7,0,0,2,11,7D/H,AS,sotoju01
167,Nick Kurtz*,23,ATH,AL,3.7,99,434,352,62,90,15,1,21,69,7,1,79,141,.256,.396,.483,.879,141,.390,144,170,5,3,0,0,9,3/DH,AS,kurtzni01
168,J.T. Realmuto,35,PHI,NL,0.6,114,434,385,50,84,18,0,11,49,3,0,33,92,.218,.293,.351,.643,72,.289,67,135,8,10,0,6,0,*2,,realmjt01
169,Troy Johnston*,29,COL,NL,-0.7,122,433,383,40,108,31,1,4,50,4,5,36,79,.282,.352,.399,.751,97,.331,96,153,6,8,1,5,0,97D3H/1,,johnstr02
170,Trevor Larnach*,29,MIN,AL,1.4,122,433,383,57,103,23,1,13,48,2,2,45,79,.269,.352,.436,.788,121,.351,124,167,10,4,1,0,1,*7H/D,,larnatr01
171,Joc Pederson*,34,TEX,AL,1.7,136,432,374,56,88,12,2,26,53,2,0,49,102,.235,.329,.487,.816,134,.355,133,182,11,5,0,3,2,*DH/39,,pederjo01
172,Vaughn Grissom,25,LAA,AL,0.2,109,431,385,43,92,22,0,11,65,1,0,28,81,.239,.303,.382,.685,96,.310,98,147,17,10,1,6,0,345/HD,,grissva01
173,Wyatt Langford,24,TEX,AL,2.9,100,429,380,59,91,19,2,17,40,13,3,45,97,.239,.326,.434,.761,120,.340,121,165,8,4,0,0,1,78/DH,,langfwy01
174,Henry Bolte,22,ATH,AL,2.9,109,428,375,52,103,13,1,11,34,20,8,35,122,.275,.357,.403,.759,109,.348,114,151,5,14,1,2,0,*8/7H9D,,boltehe01
175,Shea Langeliers,28,ATH,AL,3.7,97,428,388,55,103,19,0,23,55,3,1,34,98,.265,.332,.492,.824,124,.360,123,191,5,5,0,1,2,2D/H,AS,langesh01
176,Evan Carter*,23,TEX,AL,2.0,132,427,367,50,71,13,3,9,35,16,2,46,107,.193,.291,.319,.610,78,.283,77,117,1,5,8,1,0,*8H,,carteev01
177,Spencer Horwitz*,28,PIT,NL,0.0,107,425,364,41,89,12,1,10,44,1,0,50,67,.245,.344,.365,.709,93,.322,93,133,14,7,0,4,0,3H/D,,horwisp01
178,Francisco Lindor#,32,NYM,NL,1.9,95,421,375,56,86,10,4,20,47,3,2,41,85,.229,.314,.437,.751,109,.333,112,164,3,5,0,0,0,6/D,,lindofr01
179,Nathan Lukes*,31,TOR,AL,1.9,117,420,383,45,105,14,0,10,37,1,1,22,63,.274,.322,.389,.711,95,.319,96,149,12,6,7,2,0,*9H78,,lukesna01
180,Coby Mayo,24,BAL,AL,0.8,124,420,383,61,86,14,3,24,63,4,0,31,129,.225,.290,.465,.755,111,.335,112,178,4,5,0,1,0,5D3H,,mayoco01
181,Colt Keith*,24,DET,AL,0.9,137,417,379,50,98,18,4,10,36,6,0,31,82,.259,.321,.406,.728,103,.324,100,154,8,5,0,2,0,5DH3,,keithco01
182,Ryan O'Hearn*,32,PIT,NL,0.2,101,416,376,55,101,15,0,18,72,1,0,32,89,.269,.332,.452,.784,110,.345,110,170,14,5,0,3,1,39D/H,,ohearry01
183,Josh Jung,28,TEX,AL,1.8,96,414,372,49,111,25,1,9,37,1,1,33,73,.298,.362,.444,.806,134,.359,137,165,16,6,0,3,0,5,,jungjo01
184,Michael Massey*,28,KCR,AL,2.4,122,414,386,48,109,24,1,12,46,3,0,21,69,.282,.316,.443,.759,113,.332,109,171,8,0,2,5,0,*4/H759D,,massemi02
185,Mickey Moniak*,28,COL,NL,0.2,109,412,381,48,92,17,5,22,64,1,1,21,113,.241,.282,.486,.767,96,.325,89,185,4,3,0,7,0,7D9H8,,moniami01
186,Gavin Sheets*,30,SDP,NL,-0.1,123,412,356,46,75,15,0,16,46,4,0,49,84,.211,.313,.388,.701,96,.313,95,138,12,5,0,2,0,37DH/9,,sheetga01
187,Zach McKinstry*,31,DET,AL,1.5,121,411,362,42,74,15,4,4,26,3,5,41,66,.204,.289,.301,.590,66,.284,77,109,4,3,3,2,1,946H/5871,,mckinza01
188,Taylor Walls#,29,TBR,AL,3.1,117,410,349,54,76,16,2,2,33,21,3,42,99,.218,.304,.292,.596,69,.285,68,102,4,3,12,4,0,*6/H,,wallsta01
189,Casey Schmitt,27,SFG,NL,1.5,98,409,387,47,105,17,1,21,55,9,1,11,81,.271,.301,.483,.784,117,.340,115,187,6,7,0,4,1,75D3/46,,schmica01
